Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
105,0.0188,13.4927,0.12507,9.154,10.077,10.659,10.979,11.493,11.85,12.401,13.492,14.678,15.357,15.834,16.568,17.062,18.036,19.831
106,0.0173,13.5348,0.125,9.187,10.113,10.695,11.014,11.528,11.89,12.441,13.534,14.725,15.404,15.882,16.618,17.114,18.089,19.89
107,0.0158,13.5765,0.12493,9.218,10.146,10.73,11.052,11.565,11.927,12.478,13.576,14.769,15.452,15.931,16.669,17.165,18.144,19.95
108,0.0144,13.6182,0.12486,9.248,10.179,10.763,11.087,11.603,11.964,12.518,13.618,14.815,15.498,15.979,16.718,17.216,18.197,20.009
109,0.0129,13.6594,0.12479,9.279,10.212,10.798,11.122,11.638,12.002,12.555,13.66,14.859,15.545,16.025,16.766,17.267,18.25,20.066
110,0.0114,13.7002,0.12472,9.31,10.245,10.831,11.158,11.676,12.037,12.595,13.7,14.901,15.589,16.072,16.815,17.317,18.303,20.126
111,0.01,13.741,0.12466,9.341,10.278,10.867,11.191,11.711,12.075,12.632,13.741,14.945,15.635,16.12,16.865,17.368,18.356,20.183
112,0.0086,13.7813,0.12459,9.372,10.311,10.9,11.226,11.746,12.11,12.67,13.781,14.989,15.679,16.164,16.912,17.417,18.409,20.241
113,0.0071,13.8214,0.12453,9.401,10.342,10.933,11.259,11.782,12.147,12.707,13.821,15.031,15.726,16.211,16.96,17.465,18.459,20.298
114,0.0057,13.8613,0.12447,9.431,10.375,10.966,11.294,11.817,12.183,12.745,13.86,15.075,15.77,16.257,17.009,17.516,18.512,20.355
115,0.0043,13.901,0.12441,9.46,10.406,10.999,11.327,11.852,12.218,12.782,13.9,15.117,15.814,16.303,17.057,17.564,18.563,20.413
116,0.0029,13.9403,0.12435,9.491,10.437,11.032,11.36,11.887,12.253,12.818,13.94,15.159,15.858,16.347,17.103,17.613,18.614,20.468
117,0.0015,13.9795,0.12429,9.52,10.47,11.065,11.393,11.92,12.291,12.855,13.98,15.201,15.902,16.394,17.15,17.661,18.664,20.523
118,0.0001,14.0183,0.12423,9.548,10.501,11.098,11.427,11.956,12.324,12.893,14.019,15.243,15.944,16.438,17.196,17.708,18.715,20.578
119,-0.0013,14.0569,0.12417,9.579,10.531,11.129,11.46,11.989,12.359,12.928,14.057,15.285,15.988,16.482,17.242,17.756,18.766,20.633
120,-0.0026,14.0953,0.12412,9.608,10.562,11.162,11.493,12.022,12.394,12.963,14.096,15.327,16.03,16.526,17.289,17.802,18.816,20.688
121,-0.004,14.1334,0.12406,9.636,10.591,11.193,11.526,12.057,12.427,12.998,14.134,15.366,16.074,16.57,17.335,17.849,18.865,20.743
122,-0.0053,14.1713,0.12401,9.663,10.622,11.224,11.557,12.09,12.463,13.034,14.171,15.408,16.116,16.614,17.379,17.897,18.913,20.798
123,-0.0067,14.2088,0.12395,9.692,10.653,11.257,11.59,12.123,12.496,13.069,14.209,15.448,16.158,16.656,17.425,17.943,18.962,20.851
124,-0.008,14.2463,0.1239,9.72,10.681,11.288,11.621,12.156,12.531,13.104,14.246,15.487,16.2,16.7,17.469,17.99,19.013,20.904
125,-0.0094,14.2833,0.12385,9.749,10.712,11.319,11.654,12.189,12.564,13.14,14.284,15.527,16.241,16.742,17.514,18.034,19.061,20.957
126,-0.0107,14.3203,0.1238,9.775,10.741,11.349,11.685,12.22,12.597,13.173,14.321,15.569,16.283,16.784,17.558,18.08,19.107,21.01
127,-0.012,14.3569,0.12375,9.804,10.772,11.38,11.715,12.253,12.63,13.208,14.357,15.607,16.323,16.828,17.602,18.124,19.156,21.063
128,-0.0133,14.3935,0.1237,9.83,10.8,11.409,11.746,12.286,12.663,13.241,14.394,15.646,16.365,16.87,17.646,18.171,19.204,21.116
129,-0.0146,14.4297,0.12365,9.857,10.829,11.44,11.777,12.317,12.696,13.276,14.429,15.686,16.405,16.909,17.69,18.215,19.251,21.167
130,-0.0159,14.4656,0.1236,9.886,10.858,11.471,11.808,12.348,12.727,13.309,14.467,15.723,16.444,16.951,17.732,18.259,19.297,21.219
131,-0.0172,14.5013,0.12355,9.912,10.886,11.499,11.839,12.381,12.76,13.342,14.502,15.763,16.484,16.993,17.776,18.303,19.343,21.27
132,-0.0185,14.5371,0.12351,9.938,10.915,11.53,11.87,12.412,12.791,13.375,14.537,15.801,16.526,17.035,17.818,18.347,19.39,21.321
133,-0.0198,14.5723,0.12346,9.965,10.944,11.559,11.898,12.443,12.824,13.409,14.573,15.838,16.563,17.075,17.862,18.391,19.436,21.372
134,-0.021,14.6074,0.12342,9.991,10.97,11.587,11.929,12.474,12.855,13.442,14.608,15.878,16.603,17.114,17.904,18.435,19.482,21.422
135,-0.0223,14.6422,0.12337,10.018,10.999,11.616,11.958,12.505,12.886,13.475,14.643,15.913,16.643,17.154,17.946,18.477,19.529,21.473
136,-0.0235,14.6768,0.12333,10.042,11.028,11.645,11.989,12.535,12.919,13.506,14.676,15.95,16.68,17.196,17.985,18.521,19.573,21.524
137,-0.0248,14.7112,0.12329,10.069,11.054,11.673,12.017,12.564,12.95,13.539,14.711,15.988,16.72,17.236,18.027,18.563,19.619,21.572
138,-0.026,14.7454,0.12325,10.095,11.08,11.702,12.046,12.595,12.981,13.569,14.745,16.025,16.757,17.273,18.069,18.605,19.663,21.621
139,-0.0273,14.7796,0.12321,10.119,11.109,11.731,12.075,12.626,13.012,13.603,14.78,16.063,16.797,17.313,18.111,18.647,19.707,21.671
140,-0.0285,14.8133,0.12317,10.146,11.136,11.759,12.103,12.655,13.04,13.633,14.813,16.098,16.835,17.353,18.151,18.689,19.751,21.72
141,-0.0297,14.8468,0.12313,10.17,11.162,11.786,12.132,12.683,13.071,13.664,14.846,16.133,16.872,17.39,18.19,18.73,19.795,21.768
